ISim log file
Running: C:\Users\sahil\Desktop\UCLAThings\2018-2019 Classes\Fall 2018\CS M152B\SJD\Lab0_2018\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/sahil/Desktop/UCLAThings/2018-2019 Classes/Fall 2018/CS M152B/SJD/Lab0_2018/first_counter_tb_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
----------------------------------------------------------------------
INFO:Security:51 - The XILINXD_LICENSE_FILE environment variable is not set.
INFO:Security:53 - The LM_LICENSE_FILE environment variable is not set.
INFO:Security:68a - user is sahil, on host SAHILLAPTOP.
WARNING:Security:43 - No license file was found in the standard Xilinx license directory.
WARNING:Security:44 - Since no license file was found,
       please run the Xilinx License Configuration Manager
       (xlcm or "Manage Xilinx Licenses")
       to assist in obtaining a license.
ERROR:Security:14 - No feature was available for 'ISIM'.

No such feature exists.
Feature:       ISIM
License path:  C:/.Xilinx;D:\Xilinx\14.7\ISE_DS\ISE\/data\*.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\Xilinx.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\XilinxFree.lic;
FLEXnet Licensing error:-5,357
For further information, refer to the FLEXnet Licensing documentation,
available at "www.flexerasoftware.com".
----------------------------------------------------------------------
WARNING: A full ISim License cannot be checked out due to the issues listed above. Please use Xilinx License Configuration Manager to fix these issues in order to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
5	 0 1 0 xxxx
10	 1 1 0 xxxx
11	 1 1 0 0000
15	 0 0 0 0000
20	 1 0 0 0000
25	 0 0 1 0000
30	 1 0 1 0000
35	 0 0 1 0000
40	 1 0 1 0000
45	 0 0 1 0000
50	 1 0 1 0000
51	 1 0 1 0001
55	 0 0 1 0001
60	 1 0 1 0001
65	 0 0 1 0001
70	 1 0 1 0001
75	 0 0 1 0001
80	 1 0 1 0001
85	 0 0 1 0001
90	 1 0 1 0001
95	 0 0 1 0001
100	 1 0 1 0001
105	 0 0 1 0001
110	 1 0 1 0001
111	 1 0 1 0010
115	 0 0 1 0010
120	 1 0 1 0010
125	 0 0 1 0010
130	 1 0 1 0010
135	 0 0 1 0010
140	 1 0 1 0010
145	 0 0 1 0010
150	 1 0 1 0010
155	 0 0 1 0010
160	 1 0 1 0010
165	 0 0 1 0010
170	 1 0 1 0010
171	 1 0 1 0011
175	 0 0 1 0011
180	 1 0 1 0011
185	 0 0 1 0011
190	 1 0 1 0011
195	 0 0 1 0011
200	 1 0 1 0011
205	 0 0 1 0011
210	 1 0 1 0011
215	 0 0 1 0011
220	 1 0 1 0011
225	 0 0 1 0011
230	 1 0 1 0011
231	 1 0 1 0100
235	 0 0 1 0100
240	 1 0 1 0100
245	 0 0 1 0100
250	 1 0 1 0100
255	 0 0 1 0100
260	 1 0 1 0100
265	 0 0 1 0100
270	 1 0 1 0100
275	 0 0 1 0100
280	 1 0 1 0100
285	 0 0 1 0100
290	 1 0 1 0100
291	 1 0 1 0101
295	 0 0 1 0101
300	 1 0 1 0101
305	 0 0 1 0101
310	 1 0 1 0101
315	 0 0 1 0101
320	 1 0 1 0101
325	 0 0 1 0101
330	 1 0 1 0101
335	 0 0 1 0101
340	 1 0 1 0101
345	 0 0 1 0101
350	 1 0 1 0101
351	 1 0 1 0110
355	 0 0 1 0110
360	 1 0 1 0110
365	 0 0 1 0110
370	 1 0 1 0110
375	 0 0 1 0110
380	 1 0 1 0110
385	 0 0 1 0110
390	 1 0 1 0110
395	 0 0 1 0110
400	 1 0 1 0110
405	 0 0 1 0110
410	 1 0 1 0110
411	 1 0 1 0111
415	 0 0 1 0111
420	 1 0 1 0111
425	 0 0 1 0111
430	 1 0 1 0111
435	 0 0 1 0111
440	 1 0 1 0111
445	 0 0 1 0111
450	 1 0 1 0111
455	 0 0 1 0111
460	 1 0 1 0111
465	 0 0 1 0111
470	 1 0 1 0111
471	 1 0 1 1000
475	 0 0 1 1000
480	 1 0 1 1000
485	 0 0 1 1000
490	 1 0 1 1000
495	 0 0 1 1000
500	 1 0 1 1000
505	 0 0 1 1000
510	 1 0 1 1000
515	 0 0 1 1000
520	 1 0 1 1000
525	 0 0 1 1000
530	 1 0 1 1000
531	 1 0 1 1001
535	 0 0 1 1001
540	 1 0 1 1001
545	 0 0 1 1001
550	 1 0 1 1001
555	 0 0 1 1001
560	 1 0 1 1001
565	 0 0 1 1001
570	 1 0 1 1001
575	 0 0 1 1001
580	 1 0 1 1001
585	 0 0 1 1001
